title,author,avg_rating,date_added,num_of_pages,genre,rating_num
"Mr. Mercedes(Bill Hodges Trilogy, #1)",Stephen King,4.03,2018-07-16,437.0,fiction,
"Finders Keepers(Bill Hodges Trilogy, #2)",Stephen King,4.07,2018-07-16,434.0,fiction,
"End of Watch(Bill Hodges Trilogy, #3)",Stephen King,4.11,2018-07-16,432.0,fiction,
"Skyward(Skyward, #1)",Brandon Sanderson,4.47,2018-07-16,513.0,unknown,
"#Nerd(Hashtag, #1)",Cambria Hebert,3.98,2018-07-16,242.0,computers,
"The Ex-Boyfriend's Handbook(Ed & Dan, #1)",Matt Dunn,3.6,2018-07-15,354.0,fiction,3.0
"The Dark Forest(Remembrance of Earth’s Past, #2)",Cixin Liu,4.41,2018-07-07,512.0,fiction,
We Have Always Lived in the Castle,Shirley Jackson,3.92,2018-07-06,152.0,american_fiction,2.0
The Thirteenth Tale,Diane Setterfield,3.98,2018-07-06,406.0,fiction,
The Lovely Bones,Alice Sebold,3.86,2018-07-06,372.0,fiction,
Small Great Things,Jodi Picoult,4.36,2018-07-04,480.0,african_american_nurses,2.0
"Everless(Everless, #1)",Sara Holland,3.79,2018-07-04,362.0,young_adult_fiction,
"Storm Glass(Harbinger, #1)",Jeff Wheeler,4.2,2018-07-04,367.0,fiction,
The Couple Next Door,Shari Lapena,3.8,2018-07-04,308.0,fiction,
"Out of Spite, Out of Mind(Magic 2.0 #5)",Scott Meyer,3.79,2018-07-04,8.0,hackers,
"Bone Music(Burning Girl, #1)",Christopher Rice,3.88,2018-07-04,455.0,fiction,
When We Were Animals,Joshua Gaylord,3.59,2018-07-03,319.0,fiction,
A Thousand Perfect Notes,C.G. Drews,4.16,2018-07-03,282.0,juvenile_fiction,
"Arm of the Sphinx(The Books of Babel, #2)",Josiah Bancroft,4.32,2018-06-25,448.0,unknown,4.0
"The Grey Bastards(The Lot Lands, #1)",Jonathan French,4.06,2018-06-20,529.0,unknown,
"John Dies at the End(John Dies at the End, #1)",David Wong,3.87,2018-06-17,362.0,fiction,2.0
"Ship of Magic(Liveship Traders, #1)",Robin Hobb,4.23,2018-06-10,880.0,fantastic_fiction,
"Senlin Ascends(The Books of Babel, #1)",Josiah Bancroft,4.11,2018-06-10,448.0,"babel,_tower_of",4.0
"Irredeemable, Vol. 1",Mark Waid,4.05,2018-06-08,128.0,comics_&_graphic_novels,
"The Poppy War(The Poppy War, #1)",R.F. Kuang,4.17,2018-06-05,545.0,unknown,
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.4,2018-06-05,389.0,fiction,4.0
Windmills of the Gods,Sidney Sheldon,3.88,2018-06-04,419.0,fiction,3.0
Milk and honey,Rupi Kaur,3.96,2018-06-03,204.0,"body,_mind_&_spirit",4.0
Beasts of Extraordinary Circumstance,Ruth Emmie Lang,4.17,2018-06-01,346.0,fiction,3.0
Prey,Michael Crichton,3.79,2018-05-19,507.0,artificial_life,3.0
The Thing Around Your Neck,Chimamanda Ngozi Adichie,4.23,2018-05-02,218.0,fiction,3.0
"Murder on the Orient Express(Hercule Poirot, #10)",Agatha Christie,4.2,2018-04-29,274.0,"detective_and_mystery_stories,_english",4.0
Circe,Madeline Miller,4.22,2018-04-27,393.0,juvenile_fiction,3.0
Let's Talk About Love,Claire Kann,3.7,2018-04-25,304.0,juvenile_fiction,2.0
"Children of Blood and Bone(Legacy of Orïsha, #1)",Tomi Adeyemi,4.11,2018-04-02,544.0,young_adult_fiction,3.0
Other People's Heroes,Blake M. Petit,3.81,2018-03-27,239.0,heroes,3.0
The Child Thief,Brom,4.08,2018-03-09,483.0,fiction,2.0
"The Shadow of What Was Lost(The Licanius Trilogy, #1)",James Islington,4.14,2018-03-04,602.0,fiction,3.0
"Strange the Dreamer(Strange the Dreamer, #1)",Laini Taylor,4.28,2018-03-04,532.0,juvenile_fiction,4.0
"The Wall of Storms(The Dandelion Dynasty, #2)",Ken Liu,4.35,2018-03-02,880.0,fiction,3.0
"The Grace of Kings(The Dandelion Dynasty, #1)",Ken Liu,3.79,2018-02-28,640.0,fiction,3.0
The Immortalists,Chloe Benjamin,3.71,2018-02-27,346.0,fiction,3.0
Chameleon in a Candy Store(Oxygen Thief Diaries Book 2),Anonymous,3.27,2018-02-09,209.0,unknown,4.0
The Chalk Man,C.J. Tudor,3.7,2018-02-02,280.0,fiction,3.0
"When Dimple Met Rishi(Dimple and Rishi, #1)",Sandhya Menon,3.68,2018-02-01,380.0,juvenile_fiction,3.0
The Bus Driver Who Wanted to be God and Other Stories,Etgar Keret,3.95,2018-01-31,130.0,fiction,2.0
The Kite Runner,Khaled Hosseini,4.35,2018-01-21,371.0,feature_films,3.0
Modern Romance,Aziz Ansari,3.8,2018-01-20,279.0,social_science,2.0
The Last Black Unicorn,Tiffany Haddish,3.84,2018-01-17,288.0,humor,3.0
"Carry On(Simon Snow, #1)",Rainbow Rowell,4.16,2018-01-15,522.0,young_adult_fiction,3.0
